Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Operations in North Alabama (1864)



"," AL002

"," January 26, 1864



"," Confederate cavalry, numbering about 600 men, attacked

Athens, held by about 100 Union troops, around 4:00 am on the morning of

January 26, 1864. After a two-hour battle, the Confederates retreated.

Union forces, although greatly outnumbered and without fortifications,

repulsed the attackers.



"," 50 total (US 20; CS 30)



"," 9th Illinois Mounted Infantry [US]; 1st Alabama Cavalry

[CS]



"," Limestone County



"," None



"," IV.1 (Class D)

"," Capt. Emil Adams [US]; Lt. Col. Moses W. Hannon

[CS]



"," Union victory (The Confederate force failed in its attempt

to take Athens.)



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Streight's Raid in Alabama and Georgia (1863)

"," AL001

"," April 30, 1863

"," Union Col. Abel D. Streight led a provisional brigade on a raid to cut the Western & Atlantic Railroad that supplied Gen. Braxton Braggs Confederate army in Middle Tennessee. From Nashville, Tennessee, Streights command traveled to Eastport, Mississippi, and then proceeded east to Tuscumbia, Alabama, in conjunction with another Union force commanded by Brig. Gen. Grenville Dodge. On April 26, 1863, Streights men left Tuscumbia and marched southeast, their initial movements screened by Dodges troops."," 88 total (US 23; CS 65)

"," Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry [US]; three regiments [CS]

"," Cullman County, Alabama

"," Sand Mountain

",NA," Col. Abel Streight [US]; Brig. Gen. Nathan Bedford Forrest [CS]

"," Union victory, although the raid ultimately failed.

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Franklin-Nashville Campaign (1864)



"," AL004

"," October 26-29, 1864



"," As Gen. John B. Hood began the Franklin-Nashville Campaign

during the fall of 1864, his Army of Tennessee demonstrated against Decatur,

Alabama, October 26-29, in an attempt to cross the Tennessee River. Union

forces, under the command of Brig. Gen. Robert S. Granger for most of the

battle, numbered only about 5,000 men, but successfully prevented the much

larger Confederate force from crossing the river.



"," 605 total (US 155; CS 450)



"," Garrison and other troops sent there (approx. 5,000

men) [US]; Army of Tennessee [CS]



"," Morgan County and Limestone County



"," None



"," IV.2 (Class C)
"," Brig. Gen. Robert S. Granger [US]; Gen. John B.

Hood [CS]



"," Union victory (Confederate forces could not cross the river.)



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Mobile Campaign (1865)



",NA," April 2-9, 1865



"," E.R.S. Canby�s forces, the XVI and XIII corps, moved along

the eastern shore of Mobile Bay, forcing the Confederates back into their

defenses. Union forces then concentrated on Spanish Fort and Fort Blakely.

By April 1, Union forces had enveloped Spanish Fort, thereby releasing

more troops to focus on Fort Blakely. Brig. Gen. St. John R. Liddell, with

about 4,000 men, held out against the much larger Union force until Spanish

Fort fell on April 8, allowing Canby to concentrate 16,000 men for the

attack on April 9. Sheer numbers breached the Confederate earthworks compelling

the Confederates to capitulate. The siege and capture of Fort Blakely was

basically the last combined-force battle of the war. African-American forces played a major role in the successful Union assault.
"," Total 4,475. April 9 only 3,529 (US 629; CS 2,900)



"," XIII and XVI Corps [US]; Fort Blakely Garrison [CS]



"," Baldwin County



"," None



",NA," Maj. Gen. E.R.S. Canby [US]; Brig. Gen. St. John

R. Liddell [CS]



",NA,NA,NA," AL006

"," III.1 (Class A)
"," Union victory (Fort Blakely surrendered.)
",NA,NA,NA,NA,NA,NA
" Operations in Mobile Bay (1864)



",NA," August 2-23, 1864



"," A combined Union force initiated operations to close Mobile

Bay to blockade running. Some Union forces landed on Dauphin Island and

laid siege to Fort Gaines. On August 5, Farraguts Union fleet of eighteen

ships entered Mobile Bay and received a devastating fire from Forts Gaines

and Morgan and other points.  After passing the forts, Farragut forced

the Confederate naval forces, under Adm. Franklin Buchanan, to surrender,

which effectively closed Mobile Bay. By August 23, Fort Morgan, the last big holdout, fell, shutting down the port.  The city, however, remained uncaptured.
"," 1,822 (US 322; CS 1,500)



"," Farragut�s Fleet (14 wooden ships and 4 monitors) and

U.S. army forces near Mobile [US]; Buchanans Flotilla (3 gunboats and

an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell

Garrison [CS]



"," Mobile County and Baldwin County



"," Passing of Forts Morgan and Gaines



",NA," Adm. David G. Farragut and Maj. Gen. Gordon Granger

[US]; Adm. Franklin Buchanan and Brig. Gen. Richard L. Page [CS]



",NA,NA,NA," AL003
"," I.1 (Class A)
",NA," Union victory
",NA,NA,NA,NA,NA
" Wilson�s Raid in Alabama and Georgia (1865)



"," AL007

"," April 2, 1865



"," Maj. Gen. James H. Wilson, commanding three divisions of

Union cavalry, about 13,500 men, led his men south from Gravelly Springs,

Alabama, on March 22, 1865. Opposed by Confederate Lt. Gen. Nathan B. Forrest,

Wilson skillfully continued his march and eventually defeated him in a

running battle at Ebenezer Church, on April 1. Continuing towards Selma,

Wilson split his command into three columns. Although Selma was well-defended,

the Union columns broke through the defenses at separate points forcing

the Confederates to surrender the city, although many of the officers and

men, including Forrest and Lt. Gen. Richard Taylor, escaped. Selma demonstrated

that even Forrest, whom some had considered invincible, could not stop

the unrelenting Union movements deep into the Southern Heartland.



"," 3,019 total (US 319; CS 2,700)



"," Two cavalry divisions [US]; troops in city (approx.

5,000 men) [CS]



",NA, None," IV.2 (Class B)
"," Maj. Gen. James H. Wilson [US]; Lt. Gen. Nathan

B. Forrest [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA," Dallas County



",NA,NA,NA,NA
" Mobile Campaign (1865)



"," AL005

"," March 27-April 8, 1865



"," Maj. Gen. E.R.S. Canby�s XIII and XVI corps moved along

the eastern shore of Mobile Bay forcing the Confederates back into their

defenses. Union forces then concentrated on Spanish Fort and Fort Blakely.

On March 27, 1865, Canbys forces rendezvoused at Danleys Ferry and immediately

undertook a siege of Spanish Fort. The Union had enveloped the fort by

April 1, and on April 8 captured it. Most of the Confederate forces, under

the command of Brig. Gen. Randall L. Gibson, escaped and fled to Mobile,

but Spanish Fort was no longer a threat.



"," 1,401 (US 657; CS 744)



"," XVI and XIII Corps [US]; Spanish Fort Garrison [CS]



"," Baldwin County



"," None



"," IV.2 (Class B)
"," Maj. Gen. E.R.S. Canby [US]; Brig. Gen. Randall

L. Gibson [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations against Vicksburg (1862-1863)



"," AR006

"," January 9-11, 1863



"," From Fort Hindman, at Arkansas Post, Confederates had been

disrupting Union shipping on the Mississippi River. Maj. Gen. John McClernand,

therefore, undertook a combined force movement on Arkansas Post to capture

it. Union boats began landing troops near Arkansas Post in the evening

of January 9, 1863. The troops started up river towards Fort Hindman. Maj.

Gen. William T. Sherman�s corps overran Rebel trenches, and the enemy retreated

to the protection of the fort and adjacent rifle-pits. Rear Adm. David

Porter, on the 10th, moved his fleet towards Fort Hindman and bombarded

it withdrawing at dusk. Union artillery fired on the fort from artillery

positions across the river on the 11th, and the infantry moved into position

for an attack. Union ironclads commenced shelling the fort and Porters

fleet passed it to cutoff any retreat. As a result of this envelopment,

and the attack by McClernands troops, the Confederate command surrendered

in the afternoon. Although Union losses were high and the victory did not

contribute to the capture of Vicksburg, it did eliminate one more impediment

to Union shipping on the Mississippi.



"," 6,547 total (US 1,047; CS 5,500)



"," Army of the Mississippi [US]; Fort Hindman Garrison

[CS]



"," Arkansas County



"," Fort Hindman



"," IV.1 (Class C)



"," Rear Adm. David D. Porter and Maj. Gen. John A.

McClernand [US]; Brig. Gen. Thomas J. Churchill [CS]



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Advance on Little Rock (1863)



"," AR010a

"," September 10, 1863



"," On September 10, 1863, Maj. Gen. Fred Steele, Army of Arkansas

commander, sent Brig. Gen. John W. Davidson�s cavalry division across the

Arkansas River to move on Little Rock, while he took other troops to attack

Confederates entrenched on the north side. In his thrust toward Little

Rock, Davidson ran into Confederate troops at Bayou Fourche. Aided by Union

artillery fire from the north side of the river, Davidson forced them out

of their position and sent them fleeing back to Little Rock, which fell

to Union troops that evening. Bayou Fourche sealed Little Rocks fate.

The fall of Little Rock further helped to contain the Confederate Trans-Mississippi

theater, isolating it from the rest

of the South.



"," Total unknown (US 72; CS unknown)



"," Cavalry Division, Army of Arkansas, Arkansas Expedition

[US]; District of Arkansas [CS]



"," Pulaski County



"," Little Rock



"," IV.2 (Class B)

"," Brig. Gen. John W. Davidson [US]; Brig. Gen. John

S. Marmaduke



"," Union victory



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Prairie Grove Campaign (1862)

"," AR004

"," November 28, 1862

"," In late November, Maj. Gen. Thomas C. Hindman detached
Brig. Gen. John Marmaduke�s cavalry from Van Buren north to occupy the
Cane Hill area. Hearing of this movement, Brig. Gen. James Blunt advanced
to meet Marmadukes command and destroy it, if possible. The Union vanguard
encountered Col. Joe Shelbys brigade, which fought a delaying action to
protect their supply trains. Shelby gradually gave ground until establishing
a strong defensive perimeter on Cove Creek where he repulsed a determined
attack. The Federals withdrew to Cane Hill, while the Confederates returned
to Van Buren. Although fighting well, Marmadukes withdrawal was a setback
for Hindmans plans for recapturing northwest Arkansas. Victory at Prairie
Grove a few weeks later, solidified Union control of the region.

"," 475 total (US 40; CS 435)

"," Department of Missouri [US]; two cavalry brigades [CS]

"," Washington County, Arkansas

"," Canehill, Boston Mountains

"," III.3 (Class C)
"," Brig. Gen. James G. Blunt [US]; Brig. Gen. John
S. Marmaduke [CS]

"," Confederate tactical victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
